STUDBME1,STUDBME2,STUDBME3,CMP-lab1,CMP_LAB1,Sbme-Staff,CUFE,bdawy,CIVil-2022,Location
-72.0,-54.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,class0
-62.0,-100.0,-100.0,-72.0,-65.0,-100.0,-56.0,-87.0,-100.0,class0
-59.0,-59.0,-81.0,-100.0,-100.0,-100.0,-55.0,-100.0,-100.0,class0
-66.0,-56.0,-100.0,-100.0,-51.0,-100.0,-53.0,-100.0,-82.0,class0
-64.0,-100.0,-100.0,-100.0,-52.0,-100.0,-55.0,-100.0,-78.0,class0
-65.0,-56.0,-78.0,-71.0,-100.0,-100.0,-56.0,-100.0,-76.0,class0
-100.0,-61.0,-100.0,-100.0,-55.0,-100.0,-51.0,-100.0,-100.0,class0
-100.0,-100.0,-100.0,-79.0,-52.0,-100.0,-57.0,-87.0,-100.0,class0
-62.0,-100.0,-100.0,-80.0,-51.0,-100.0,-62.0,-100.0,-100.0,class0
-70.0,-64.0,-100.0,-78.0,-58.0,-100.0,-55.0,-100.0,-100.0,class0
-100.0,-100.0,-100.0,-100.0,-57.0,-100.0,-59.0,-87.0,-89.0,class0
-73.0,-52.0,-100.0,-100.0,-53.0,-100.0,-100.0,-100.0,-85.0,class0
-73.0,-62.0,-100.0,-100.0,-58.0,-100.0,-56.0,-100.0,-100.0,class0
-70.0,-100.0,-100.0,-100.0,-53.0,-100.0,-62.0,-88.0,-100.0,class0
-100.0,-63.0,-100.0,-100.0,-55.0,-100.0,-63.0,-100.0,-82.0,class0
-73.0,-66.0,-100.0,-79.0,-100.0,-100.0,-60.0,-100.0,-100.0,class0
-68.0,-55.0,-100.0,-100.0,-54.0,-100.0,-60.0,-100.0,-100.0,class0
-70.0,-100.0,-81.0,-100.0,-57.0,-100.0,-100.0,-100.0,-100.0,class0
-71.0,-54.0,-100.0,-100.0,-56.0,-100.0,-56.0,-89.0,-100.0,class0
-76.0,-59.0,-100.0,-100.0,-61.0,-100.0,-56.0,-86.0,-100.0,class0
